"","satfin","income16","new_income_range"
"2280","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"2281","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2282","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2283","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2284","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2285","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"2286","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"2287","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2288","Not satisfied at all","$8 000 TO 9 999","0 to 9 999"
"2289","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"2290","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"2291","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2292","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2293","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"2294","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"2295","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"2296","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2297","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"2298","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"2299","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2300","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2301","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"2302","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"2303","Pretty well satisfied","$30000 TO 34999","20 000 to 39 999"
"2304","Not satisfied at all","$1 000 TO 2 999","0 to 9 999"
"2305","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2306","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2307","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2308","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"2309","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2310","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2311","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"2312","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2313","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2314","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"2315","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2316","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2317","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2318","Not satisfied at all","$3 000 TO 3 999","0 to 9 999"
"2319","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"2320","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2321","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2322","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"2323","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"2324","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"2325","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"2326","Pretty well satisfied","$12500 TO 14999","10 000 to 19 999"
"2327","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2328","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2329","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2330","Pretty well satisfied","$12500 TO 14999","10 000 to 19 999"
"2331","Not satisfied at all","$1 000 TO 2 999","0 to 9 999"
"2332","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2333","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"2334","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"2335","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"2336","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"2337","Pretty well satisfied","$17500 TO 19999","10 000 to 19 999"
"2338","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"2339","Pretty well satisfied","$17500 TO 19999","10 000 to 19 999"
"2340","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"2341","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2342","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"2343","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"2344","More or less satisfied","UNDER $1 000","0 to 9 999"
"2345","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"2346","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2347","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"2348","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"2349","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2350","More or less satisfied","$17500 TO 19999","10 000 to 19 999"
"2351","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2352","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"2353","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"2354","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"2355","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"2356","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"2357","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"2358","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"2359","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"2360","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2361","Not satisfied at all","$17500 TO 19999","10 000 to 19 999"
"2362","Not satisfied at all","UNDER $1 000","0 to 9 999"
"2363","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2364","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"2365","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2366","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2367","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2368","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"2369","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"2370","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2371","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"2372","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2373","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2374","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"2375","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"2376","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"2377","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"2378","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"2379","Not satisfied at all","UNDER $1 000","0 to 9 999"
"2380","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"2381","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"2382","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"2383","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"2384","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2385","Not satisfied at all","$6 000 TO 6 999","0 to 9 999"
"2386","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2387","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2388","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2389","More or less satisfied","UNDER $1 000","0 to 9 999"
"2390","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"2391","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2392","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"2393","Not satisfied at all","$17500 TO 19999","10 000 to 19 999"
"2394","Pretty well satisfied","$22500 TO 24999","20 000 to 39 999"
"2395","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2396","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"2397","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2398","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"2399","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2400","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"2401","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"2402","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"2403","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2404","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2405","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2406","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"2407","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2408","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2409","More or less satisfied","$20000 TO 22499","20 000 to 39 999"
"2410","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2411","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2412","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"2413","Not satisfied at all","$1 000 TO 2 999","0 to 9 999"
"2414","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"2415","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"2416","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"2417","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"2418","Pretty well satisfied","UNDER $1 000","0 to 9 999"
"2419","Pretty well satisfied","$17500 TO 19999","10 000 to 19 999"
"2420","More or less satisfied","$1 000 TO 2 999","0 to 9 999"
"2421","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2422","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2423","More or less satisfied","$17500 TO 19999","10 000 to 19 999"
"2424","Pretty well satisfied","$17500 TO 19999","10 000 to 19 999"
"2425","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"2426","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"2427","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2428","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2429","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2430","Pretty well satisfied","UNDER $1 000","0 to 9 999"
"2431","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"2432","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2433","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"2434","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2435","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2436","Not satisfied at all","$170000 OR OVER","90 000 to 170 000"
"2437","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"2438","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2439","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2440","More or less satisfied","$22500 TO 24999","20 000 to 39 999"
"2441","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"2442","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"2443","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"2444","More or less satisfied","$5 000 TO 5 999","0 to 9 999"
"2445","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2446","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"2447","More or less satisfied","$22500 TO 24999","20 000 to 39 999"
"2448","Not satisfied at all","UNDER $1 000","0 to 9 999"
"2449","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"2450","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"2451","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"2452","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"2453","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"2454","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2455","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"2456","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"2457","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2458","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2459","More or less satisfied","UNDER $1 000","0 to 9 999"
"2460","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2461","More or less satisfied","$17500 TO 19999","10 000 to 19 999"
"2462","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2463","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2464","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"2465","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"2466","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"2467","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2468","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"2469","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"2470","Not satisfied at all","$1 000 TO 2 999","0 to 9 999"
"2471","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"2472","More or less satisfied","$3 000 TO 3 999","0 to 9 999"
"2473","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"2474","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"2475","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"2476","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"2477","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2478","More or less satisfied","UNDER $1 000","0 to 9 999"
"2479","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"2480","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"2481","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"2482","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"2483","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"2484","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2485","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"2486","Pretty well satisfied","$17500 TO 19999","10 000 to 19 999"
"2487","Pretty well satisfied","$22500 TO 24999","20 000 to 39 999"
"2488","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"2489","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"2490","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"2491","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2492","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"2493","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"2494","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"2495","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"2496","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"2497","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"2498","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"2499","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"2500","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"2501","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"2502","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"2503","Pretty well satisfied","$1 000 TO 2 999","0 to 9 999"
"2504","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"2505","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"2506","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"2507","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"2508","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"2509","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"2510","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"2511","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"2512","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"2513","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"2514","Pretty well satisfied","$3 000 TO 3 999","0 to 9 999"
"2515","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"2516","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"2517","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"2518","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"2519","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"2520","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"2521","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
